,Instrument,ESG Score,Date,Environmental Pillar Score,Governance Pillar Score,Social Pillar Score,Carbon Credit,Carbon Offsets/Credits,Internal Carbon Price per Tonne Score Score,Women Managers,Women Employees,Gender Pay Gap Percentage,Water Recycled,Water Recycled Score,Energy Use Total,Policy Energy Efficiency,Waste Total,Waste Recycled Total
0,24CSm.BK,,,,,,,,,,,,,,,,,
1,24CSmf.BK,,,,,,,,,,,,,,,,,
2,24CSmol.BK,,,,,,,,,,,,,,,,,
3,24CSmva.BK,,,,,,,,,,,,,,,,,
4,2S.BK,,,,,,,,,,,,,,,,,
5,2Sf.BK,,,,,,,,,,,,,,,,,
6,2Sol.BK,,,,,,,,,,,,,,,,,
7,2Sva.BK,,,,,,,,,,,,,,,,,
8,3BBIFu.BK,,,,,,,,,,,,,,,,,
9,3BBIFuol.BK,,,,,,,,,,,,,,,,,
10,3BBIFuss.BK,,,,,,,,,,,,,,,,,
11,3BBIFuva.BK,,,,,,,,,,,,,,,,,
12,3K-BAT.BK,,,,,,,,,,,,,,,,,
13,3K-BATol.BK,,,,,,,,,,,,,,,,,
14,3K-BATva.BK,,,,,,,,,,,,,,,,,
15,3K-BATz.BK,,,,,,,,,,,,,,,,,
16,7UP.BK,,,,,,,,,,,,,,,,,
17,7UPf.BK,,,,,,,,,,,,,,,,,
18,7UPol.BK,,,,,,,,,,,,,,,,,
19,7UPss.BK,,,,,,,,,,,,,,,,,
20,7UPva.BK,,,,,,,,,,,,,,,,,
290,AMATAol.BK,68.3631926979145,2022-12-31,73.9928457929249,65.4141414141414,66.0968775087596,,,,47.1,44.0,97.08,,,193665.0,True,27974.9,2267.71
291,AMATAss.BK,70.7183882931081,2019-12-31,75.9872877312798,74.8592407001427,62.3237320531682,,,,45.2,42.5,97.08,22896000.0,92.5,198720.2,True,26842.88,2215.1
292,AMATAss.BK,76.9041901268138,2020-12-31,83.0715546932948,74.5228884590587,73.6492045996839,,,,42.5,43.5,169.49,20341200.0,93.4782608695652,193048.13,True,24500.61,2597.0
293,AMATAss.BK,74.2717581666163,2021-12-31,80.6519895208522,71.5586145186295,71.1313824140941,,,,44.4,44.2,89.28,21300060.0,93.4782608695652,205509.66,True,26806.29,2124.57
294,AMATAss.BK,68.3631926979145,2022-12-31,73.9928457929249,65.4141414141414,66.0968775087596,,,,47.1,44.0,97.08,,,193665.0,True,27974.9,2267.71
295,AMATAV.BK,71.3888713810487,2021-12-31,66.2584307093343,77.9812924639219,69.9043303808526,,,,,31.0,,,,2437.067,False,653.834,
296,AMATAV.BK,75.6388790911063,2022-12-31,69.0156810151394,78.2962962962963,79.0434314561774,,,,,32.0,90.0,,,2581.618,True,934.48,
297,AMATAva.BK,70.7183882931081,2019-12-31,75.9872877312798,74.8592407001427,62.3237320531682,,,,45.2,42.5,97.08,22896000.0,92.5,198720.2,True,26842.88,2215.1
298,AMATAva.BK,76.9041901268138,2020-12-31,83.0715546932948,74.5228884590587,73.6492045996839,,,,42.5,43.5,169.49,20341200.0,93.4782608695652,193048.13,True,24500.61,2597.0
299,AMATAva.BK,74.2717581666163,2021-12-31,80.6519895208522,71.5586145186295,71.1313824140941,,,,44.4,44.2,89.28,21300060.0,93.4782608695652,205509.66,True,26806.29,2124.57
300,AMATAva.BK,68.3631926979145,2022-12-31,73.9928457929249,65.4141414141414,66.0968775087596,,,,47.1,44.0,97.08,,,193665.0,True,27974.9,2267.71
301,AMATAVf.BK,71.3888713810487,2021-12-31,66.2584307093343,77.9812924639219,69.9043303808526,,,,,31.0,,,,2437.067,False,653.834,
302,AMATAVf.BK,75.6388790911063,2022-12-31,69.0156810151394,78.2962962962963,79.0434314561774,,,,,32.0,90.0,,,2581.618,True,934.48,
303,AMATAVol.BK,71.3888713810487,2021-12-31,66.2584307093343,77.9812924639219,69.9043303808526,,,,,31.0,,,,2437.067,False,653.834,
304,AMATAVol.BK,75.6388790911063,2022-12-31,69.0156810151394,78.2962962962963,79.0434314561774,,,,,32.0,90.0,,,2581.618,True,934.48,
305,AMATAVss.BK,71.3888713810487,2021-12-31,66.2584307093343,77.9812924639219,69.9043303808526,,,,,31.0,,,,2437.067,False,653.834,
306,AMATAVss.BK,75.6388790911063,2022-12-31,69.0156810151394,78.2962962962963,79.0434314561774,,,,,32.0,90.0,,,2581.618,True,934.48,
307,AMATAVva.BK,71.3888713810487,2021-12-31,66.2584307093343,77.9812924639219,69.9043303808526,,,,,31.0,,,,2437.067,False,653.834,
308,AMATAVva.BK,75.6388790911063,2022-12-31,69.0156810151394,78.2962962962963,79.0434314561774,,,,,32.0,90.0,,,2581.618,True,934.48,
309,AMC.BK,,,,,,,,,,,,,,,,,
310,AMCf.BK,,,,,,,,,,,,,,,,,
311,AMCol.BK,,,,,,,,,,,,,,,,,
312,AMCva.BK,,,,,,,,,,,,,,,,,
313,AMR.BK,,,,,,,,,,,,,,,,,
314,AMRf.BK,,,,,,,,,,,,,,,,,
315,AMRol.BK,,,,,,,,,,,,,,,,,
316,AMRva.BK,,,,,,,,,,,,,,,,,
317,ANAN.BK,,,,,,,,,,,,,,,,,
318,ANANf.BK,,,,,,,,,,,,,,,,,
319,ANANol.BK,,,,,,,,,,,,,,,,,
320,ANANss.BK,,,,,,,,,,,,,,,,,
321,ANANva.BK,,,,,,,,,,,,,,,,,
322,ANI.BK,,,,,,,,,,,,,,,,,
323,ANIf.BK,,,,,,,,,,,,,,,,,
324,ANIol.BK,,,,,,,,,,,,,,,,,
325,ANIva.BK,,,,,,,,,,,,,,,,,
326,Aol.BK,,,,,,,,,,,,,,,,,
327,AOT.BK,53.5746358175601,2014-09-30,60.3247028862479,17.7158683610296,72.6188324014411,,,,35.761,36.8,,3734307.2,78.5714285714286,865543.644,True,25736.021,
