time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1985-06-12,154.57000732,154.57000732,154.57000732,154.57000732,54.89098919694793,55.560262938603366,NaN,NaN,NaN,NaN,NaN,NaN
1985-06-13,154.47999573,154.47999573,154.47999573,154.47999573,54.30589094449088,54.720423249760756,NaN,NaN,NaN,NaN,NaN,NaN
1985-06-14,155.11000061,155.11000061,155.11000061,155.11000061,57.70414407210626,54.223812882654,NaN,NaN,NaN,NaN,NaN,NaN
1985-06-17,155.27999878,155.27999878,155.27999878,155.27999878,58.59887544425754,53.99787618866272,NaN,NaN,NaN,NaN,NaN,NaN
1985-06-18,154.24000549,154.24000549,154.24000549,154.24000549,51.43099507139725,53.636610707891194,NaN,NaN,51.43099507139725,NaN,NaN,NaN
1985-06-19,154.75,154.75,154.75,154.75,54.37809288389582,53.54609089860565,NaN,NaN,NaN,NaN,NaN,NaN
1985-06-20,154.92999268,154.92999268,154.92999268,154.92999268,55.40653670348105,53.889337282102225,NaN,NaN,NaN,NaN,NaN,NaN
1985-06-21,155.72999573,155.72999573,155.72999573,155.72999573,59.749624019997185,54.068337005861984,NaN,NaN,NaN,NaN,NaN,NaN
1985-06-24,156.30999756,156.30999756,156.30999756,156.30999756,62.59402452734642,54.72657335181608,NaN,NaN,NaN,NaN,NaN,NaN
1985-06-25,156.5,156.5,156.5,156.5,63.50389959849384,55.66873239059293,NaN,NaN,NaN,NaN,63.50389959849384,NaN
1985-06-26,154.80000305,154.80000305,154.80000305,154.80000305,51.446126428991526,55.89081203616429,NaN,NaN,NaN,NaN,NaN,NaN
1985-06-27,154.52999878,154.52999878,154.52999878,154.52999878,49.827874078279656,55.82660546614109,NaN,NaN,NaN,NaN,NaN,NaN
1985-06-28,155.19000244,155.19000244,155.19000244,155.19000244,53.664649777097175,55.90709932562055,NaN,NaN,NaN,NaN,NaN,NaN
1985-07-02,153.88999939,153.88999939,153.88999939,153.88999939,46.17452497430815,55.26258912293503,NaN,NaN,NaN,NaN,NaN,NaN
