,G,E,S
15/6/2015,0.045909554,-0.030086654,0.003786707
16/6/2015,-0.008649713,0.071024478,0.04346075
17/6/2015,0.007664547,0.031896334,0.009045424
18/6/2015,-0.036389988,-0.002749547,0.077342883
19/6/2015,0.066828057,0.239782959,0.165816213
22/6/2015,0.020255212,-0.056067016,0.00682193
23/6/2015,0.071852396,-0.002863842,-0.007731284
24/6/2015,0.084344596,0.22803511,0.051824937
25/6/2015,-0.018941323,-0.08139394,-0.103377723
26/6/2015,-0.08692906,-0.103387915,-0.032651875
29/6/2015,-0.014981064,0.022850143,0.071678511
30/6/2015,0.096353126,0.027513912,-0.027229142
2/7/2015,-0.009875809,-0.202472106,-0.101790178
3/7/2015,0.018386139,0.037457776,-0.03089667
6/7/2015,-0.0887441,-0.072485139,0.016384758
7/7/2015,-0.023202398,-0.056700779,-0.010805141
8/7/2015,-0.049059059,-0.055683705,-0.078794409
9/7/2015,0.009837262,-0.041539397,-0.040435487
10/7/2015,0.084449697,0.006029821,-0.02726532
13/7/2015,-0.087599391,0.003570466,-0.007665097
14/7/2015,-0.013500448,-0.036162453,0.004513317
15/7/2015,0.014295249,0.081762067,-0.021809169
16/7/2015,0.064772253,0.113582423,0.125454178
17/7/2015,-0.063761421,-0.085864181,-0.118090648
20/7/2015,0.051781978,-0.009073193,0.014058213
21/7/2015,0.175503218,0.013081837,0.008986977
22/7/2015,-0.010378517,-0.02143598,-0.063158476
23/7/2015,-0.261497585,-0.217395062,-0.170238182
24/7/2015,-0.136087366,-0.123173746,-0.116116567
27/7/2015,-0.047788783,-0.115666753,-0.058011064
28/7/2015,0.142553149,0.105329044,0.130118631
29/7/2015,-0.129323224,-0.026164753,0.000892686
31/7/2015,-0.007877798,0.112853533,0.050483855
3/8/2015,-0.103611354,-0.028856377,-0.070533066
4/8/2015,-0.027781364,0.10364199,0.067064931
5/8/2015,-0.073893853,0.014045607,0.000986771
6/8/2015,-0.023457943,-0.092260059,-0.075618569
7/8/2015,-0.097566067,-0.030949886,-0.066201752
10/8/2015,-0.054161567,-0.205107485,-0.107671405
11/8/2015,-0.024772154,-0.083055289,-0.052891636
13/8/2015,0.061275272,0.188722731,0.203436372
14/8/2015,-0.188689175,0.03290477,-0.031484697
17/8/2015,0.051637209,0.041244222,0.006797975
18/8/2015,-0.146309808,0.12692201,0.02305347
19/8/2015,-0.010188887,0.018413556,-0.034747243
20/8/2015,-0.214467139,-0.296722914,-0.193035955
21/8/2015,-0.143423913,-0.100075015,-0.032121488
24/8/2015,-0.080680481,-0.284169206,-0.122577375
25/8/2015,0.210845683,0.333885278,0.094014079
26/8/2015,-0.197715815,-0.175750822,-0.271765574
27/8/2015,0.033417072,0.122283902,0.186470439
28/8/2015,0.1451833,0.102042879,0.128569542
31/8/2015,0.114282346,-0.050269589,0.041296638
1/9/2015,-0.112652936,-0.232757707,-0.234354263
2/9/2015,-0.054706206,-0.01318026,0.083399684
3/9/2015,-0.091831033,-0.179923145,-0.182760261
4/9/2015,0.038956856,0.175400751,0.167272345
7/9/2015,-0.004674054,0.118168888,0.048083774
8/9/2015,-0.047232363,-0.062883533,-0.092212646
9/9/2015,0.172704835,0.151668876,0.061101855
10/9/2015,0.050824903,0.075848412,0.066611901
11/9/2015,-0.037757871,-0.061456032,-0.067657486
14/9/2015,-0.073016167,-0.147752789,-0.172032871
15/9/2015,0.028110273,0.014120491,0.110740297
16/9/2015,0.070787192,0.128154449,-0.027073852
17/9/2015,-0.026159827,0.010017041,0.042421445
18/9/2015,0.043464221,-0.039454001,-0.117608759
21/9/2015,-0.076358688,-0.072011944,-0.047598499
22/9/2015,0.124472346,-0.005467821,0.002692326
23/9/2015,-0.042563298,0.028079716,0.004465542
24/9/2015,-0.075394392,0.034034762,-0.036912137
25/9/2015,-0.054686251,-0.035906631,-0.031243612
28/9/2015,0.007076222,-0.068403821,-0.016486618
29/9/2015,0.010307436,-0.034994106,0.07993437
30/9/2015,0.053561902,0.088161443,0.05936798
1/10/2015,-0.081891445,-0.063624555,-0.138842929
2/10/2015,-0.04605024,-0.023142877,-0.087674489
5/10/2015,0.05132693,0.046790662,-0.031055495
6/10/2015,0.084080858,-0.035178702,0.010990742
7/10/2015,0.17191575,0.325305221,0.242801644
8/10/2015,-0.195483485,-0.144667692,-0.13290348
9/10/2015,0.026774102,0.04060789,0.072666477
12/10/2015,-0.033622639,-0.055314029,0.026260287
13/10/2015,0.002598773,-0.145253992,-0.134862429
14/10/2015,-0.109990337,-0.135936901,-0.12936977
15/10/2015,-0.022660823,0.066772136,0.076782167
16/10/2015,0.002034814,0.164429142,0.13253471
19/10/2015,-0.010288477,-0.12430573,-0.143327106
20/10/2015,-0.059403181,-0.117809314,-0.089374549
21/10/2015,0.11274456,0.101104458,0.058936387
22/10/2015,-0.00035945,0.015157947,-0.02193169
26/10/2015,0.0455308,0.019247457,0.065455389
27/10/2015,-0.03801613,0.003821388,0.124879147
28/10/2015,0.021276315,-0.087018696,-0.014858228
29/10/2015,-0.119562547,0.049309733,-0.0303088
30/10/2015,0.041551468,-0.076513782,-0.110812342
2/11/2015,0.116781836,0.163512642,0.179801415
3/11/2015,-0.099865003,-0.063964437,-0.048671542
4/11/2015,0.080794236,0.079230769,0.095020419
5/11/2015,-0.130820667,-0.135301441,-0.103958259
6/11/2015,0.076161814,-0.022478682,-0.053512637
9/11/2015,0.090428485,-0.034219911,-0.022844627
10/11/2015,0.028090623,-0.028593461,0.011148803
11/11/2015,-0.062230029,-0.013488168,-0.002380261
12/11/2015,0.054889359,0.031529666,0.050379523
13/11/2015,0.024857631,0.046792802,0.032824251
16/11/2015,0.06324839,-0.149499499,-0.136390013
17/11/2015,-0.047030667,-0.055159514,-0.122528954
18/11/2015,-0.019814158,-0.013366106,-0.046318811
19/11/2015,-0.12768107,-0.05917269,-0.076614558
20/11/2015,0.066262481,0.069038785,0.047802663
23/11/2015,-0.011458252,-0.189679534,-0.13022343
24/11/2015,-0.068965595,-0.143606814,-0.028817654
25/11/2015,-0.010748404,0.055143232,0.016558557
26/11/2015,0.016755801,-0.022384323,-0.05392462
27/11/2015,0.030500079,-0.006139068,0.014701091
30/11/2015,-0.058424384,-0.319377532,-0.266996914
1/12/2015,0.13767855,0.032945674,0.072168889
2/12/2015,-0.011523971,0.039402827,0.021283198
3/12/2015,0.119934186,0.20246943,0.187986387
4/12/2015,-0.041258232,-0.201378339,-0.167044774
8/12/2015,0.065188564,-0.085575921,-0.116963389
9/12/2015,0.07697731,-0.123971243,-0.133905496
11/12/2015,0.023255321,-0.261388663,-0.139861654
14/12/2015,-0.085728285,0.126881504,0.209680953
15/12/2015,0.21469726,0.261494647,0.122643761
16/12/2015,-0.035442928,0.031786295,-0.058323062
17/12/2015,-0.170632738,0.071355285,0.02764075
18/12/2015,-0.143247781,-0.208800387,-0.212037123
21/12/2015,-0.04383395,0.017366193,-0.007284547
22/12/2015,0.012914746,-0.03460125,0.005289638
23/12/2015,-0.047381954,0.158154656,0.214222138
24/12/2015,0.02752169,0.089922719,0.100118319
