,pf
2015-01-05,0.0
2015-01-06,-0.0345252244539751
2015-01-07,0.10477759201883585
2015-01-08,0.06813624480876646
2015-01-09,-0.11671745869537886
2015-01-12,-0.21950166513578118
2015-01-13,-0.21125497541033433
2015-01-14,-0.06215234540556491
2015-01-15,0.07682998962025223
2015-01-16,-0.057408430328099724
2015-01-19,-0.0673007921097688
2015-01-20,-0.003031728896653152
2015-01-21,-0.11942015696539798
2015-01-22,0.3038380085700647
2015-01-23,-0.17397747393757557
2015-01-26,0.13167520984955494
2015-01-27,0.08707940006142278
2015-01-28,-0.05427562080476067
2015-01-29,0.13581813605325588
2015-01-30,0.13135346406236115
2015-02-02,0.11887088037312155
2015-02-03,0.176539944513457
2015-02-04,-0.06690936595179708
2015-02-05,-0.038425326217767286
2015-02-06,0.002864742876219073
2015-02-09,-0.08387836149730432
2015-02-10,0.18689863040736454
2015-02-11,0.1137204186427142
2015-02-12,0.10986768172802486
2015-02-13,0.06945473097221977
2015-02-16,-0.002490498524287177
2015-02-17,-0.1771674417896396
2015-02-18,0.05402188464543389
2015-02-19,0.15810365690090245
2015-02-20,-0.053452075161540935
2015-02-23,-0.11442746188995279
2015-02-24,-0.023403347919109696
2015-02-25,0.09611215478935276
2015-02-26,-0.15614784710927765
2015-02-27,0.11991987779343405
2015-03-02,0.11140244321824844
2015-03-03,-0.008082962432995555
2015-03-05,0.2220272097221957
2015-03-06,0.026033821889097197
2015-03-09,0.036135312508880135
2015-03-10,-0.0786764623161671
2015-03-11,0.1797492916172675
2015-03-12,-0.019409853035216806
2015-03-13,0.05176146391119674
2015-03-16,0.059924815038795654
2015-03-17,0.07806118995008093
2015-03-18,0.12386328872107677
2015-03-19,-0.06937795299623506
2015-03-20,0.041870421698492866
2015-03-23,-0.03613300825060084
2015-03-24,0.1798622315470393
2015-03-25,-0.06317810760571352
2015-03-26,0.17251419009346514
2015-03-27,-0.10027163740037282
2015-03-30,0.023334332156804583
2015-03-31,-0.06595905130992386
2015-04-01,-0.21272092775626616
2015-04-02,0.32423354701225315
2015-04-03,-0.03127986354391732
2015-04-07,0.05618809498487254
2015-04-08,-0.08717397460657617
2015-04-09,0.0073878127653093095
2015-04-10,0.045178810719451956
2015-04-16,0.24082898245592943
2015-04-17,0.18433457770027384
2015-04-20,-0.11619036229378998
2015-04-21,0.07217947187872198
2015-04-22,-0.012003642354586064
2015-04-23,-0.140612475722243
2015-04-24,0.08596608575629561
2015-04-27,-0.030433259727013606
2015-04-28,0.10287281241561541
2015-04-29,-0.11153947128687591
2015-04-30,0.1076704674709662
2015-05-04,0.0
2015-05-06,0.09105219448188384
2015-05-07,-0.14937039152944853
2015-05-08,-0.0863959979150497
2015-05-11,0.05544185016365666
2015-05-12,-0.1179135262291795
2015-05-13,-0.04089798267765854
2015-05-14,0.022319810718786526
2015-05-15,0.08505964692152723
2015-05-18,-0.07523909662985673
2015-05-19,0.03646533917484018
2015-05-20,-0.1324662703159576
2015-05-21,-0.013443794994675518
2015-05-22,-0.06081490075401008
2015-05-25,0.005306339008388838
2015-05-26,0.08715524484383663
2015-05-27,-0.005781989125442699
2015-05-28,0.030525959599606023
2015-05-29,-0.08433404001481692
2015-06-02,0.0720187851761902
2015-06-03,-0.0368401515834359
2015-06-04,-0.09614992627298136
2015-06-05,0.0629098285787818
2015-06-08,0.003529947760623098
2015-06-09,0.014068762035998827
2015-06-10,0.009426266151527196
2015-06-11,-0.07879797145537326
2015-06-12,0.014653328784404285
2015-06-15,-0.03008665351816675
2015-06-16,0.07102447825916292
2015-06-17,0.03189633427159544
2015-06-18,-0.002749547138620967
2015-06-19,0.2397829593809926
2015-06-22,-0.056067016242681844
2015-06-23,-0.0028638415009982765
2015-06-24,0.22803510990755382
2015-06-25,-0.0813939400202055
2015-06-26,-0.10338791514887113
2015-06-29,0.02285014347169989
2015-06-30,0.02751391203193576
2015-07-02,-0.20247210584369324
2015-07-03,0.037457775907547064
2015-07-06,-0.07248513861403749
2015-07-07,-0.056700779031436443
2015-07-08,-0.05568370455994376
2015-07-09,-0.04153939711540122
2015-07-10,0.0060298207787722324
2015-07-13,0.0035704656339120566
2015-07-14,-0.03616245280720998
2015-07-15,0.08176206691806764
2015-07-16,0.11358242264802731
2015-07-17,-0.08586418107147098
2015-07-20,-0.009073192557963239
2015-07-21,0.013081837207415625
2015-07-22,-0.021435979781364467
2015-07-23,-0.21739506235476247
2015-07-24,-0.1231737463941297
2015-07-27,-0.1156667527394385
2015-07-28,0.10532904350236727
2015-07-29,-0.026164753086619252
2015-07-31,0.11285353273397658
2015-08-03,-0.028856376706416387
2015-08-04,0.10364199034816457
2015-08-05,0.014045607226765733
2015-08-06,-0.0922600586076241
2015-08-07,-0.030949886447404595
2015-08-10,-0.2051074852794943
2015-08-11,-0.0830552890476367
2015-08-13,0.18872273130829176
2015-08-14,0.032904769705554116
2015-08-17,0.0412442221652326
2015-08-18,0.12692201033105033
2015-08-19,0.018413556355698524
2015-08-20,-0.2967229142206331
2015-08-21,-0.10007501486332837
2015-08-24,-0.2841692062861737
2015-08-25,0.3338852776758361
2015-08-26,-0.1757508216524465
2015-08-27,0.12228390204385686
2015-08-28,0.10204287879099028
2015-08-31,-0.05026958887186761
2015-09-01,-0.23275770726472433
2015-09-02,-0.013180260443918845
2015-09-03,-0.179923144612117
2015-09-04,0.17540075113084697
2015-09-07,0.11816888758545896
2015-09-08,-0.06288353266677926
2015-09-09,0.15166887627454984
2015-09-10,0.07584841224316585
2015-09-11,-0.06145603178288239
2015-09-14,-0.14775278933331348
