,pf
2015-01-05,0.0
2015-01-06,0.008271863236322341
2015-01-07,0.07842141619275611
2015-01-08,0.10336909650682458
2015-01-09,-0.04846844527694083
2015-01-12,-0.3651155068322982
2015-01-13,-0.1606399626914975
2015-01-14,-0.013201603002789386
2015-01-15,0.047867668030198596
2015-01-16,-0.04163627738095521
2015-01-19,-0.0632265736432116
2015-01-20,-0.04814432483116615
2015-01-21,-0.11520770920361956
2015-01-22,0.3213342433601397
2015-01-23,-0.25841528486359533
2015-01-26,0.12568232672024282
2015-01-27,0.053022666149875164
2015-01-28,-0.005636578956727534
2015-01-29,0.16062383760118693
2015-01-30,0.0730418645475096
2015-02-02,0.14054352215835408
2015-02-03,0.0189613220974989
2015-02-04,-0.1697748668610327
2015-02-05,-0.08339181725227329
2015-02-06,0.03215506780862454
2015-02-09,-0.12481632665284204
2015-02-10,0.08756110073049683
2015-02-11,0.08010193319546888
2015-02-12,-0.030396814324088917
2015-02-13,0.04390995639039652
2015-02-16,0.02768612835136819
2015-02-17,-0.0359758197389497
2015-02-18,-0.05796586678910609
2015-02-19,-0.03954950733035534
2015-02-20,0.013215181299074619
2015-02-23,-0.029153689227431112
2015-02-24,0.02190174214223639
2015-02-25,0.07471325904254278
2015-02-26,-0.021785631727895605
2015-02-27,0.010420808447773044
2015-03-02,0.1364948213976548
2015-03-03,-0.02304934680976034
2015-03-05,0.22932077486758384
2015-03-06,-0.046546099152401266
2015-03-09,0.03340142747761654
2015-03-10,0.0046125814373226826
2015-03-11,0.08225084416968031
2015-03-12,-0.03689721294965265
2015-03-13,0.033780663141188993
2015-03-16,0.13483231394344308
2015-03-17,0.20435945818743695
2015-03-18,-0.04866833460035014
2015-03-19,-0.019129934301306495
2015-03-20,0.19464236113226563
2015-03-23,0.04421175667233035
2015-03-24,0.12910890820240872
2015-03-25,-0.08614472722245725
2015-03-26,0.1509813285657874
2015-03-27,-0.16283934695202928
2015-03-30,-0.023784808358428555
2015-03-31,-0.1409181953261951
2015-04-01,-0.1534226069702097
2015-04-02,0.2553522022833874
2015-04-03,-0.04012887937406118
2015-04-07,0.045006750916436244
2015-04-08,-0.058037473742065915
2015-04-09,-0.015589188595698356
2015-04-10,0.012765619987535781
2015-04-16,0.17381784743959328
2015-04-17,0.12796342251815795
2015-04-20,-0.07986139222797506
2015-04-21,0.0980511443291876
2015-04-22,0.021186241615494095
2015-04-23,-0.15735794600829756
2015-04-24,0.020424007047667003
2015-04-27,-0.004022471336688205
2015-04-28,0.13187049953416596
2015-04-29,-0.04897466288532781
2015-04-30,0.025628548356371295
2015-05-04,0.0
2015-05-06,0.0778220239735582
2015-05-07,-0.06710140306181245
2015-05-08,-0.051674803272562686
2015-05-11,0.0005204606404649592
2015-05-12,-0.05679910620229889
2015-05-13,-0.07981604836390566
2015-05-14,0.044209955595564066
2015-05-15,0.06906051331891927
2015-05-18,0.058594271348481386
2015-05-19,0.03474067907030698
2015-05-20,-0.11383451105676334
2015-05-21,0.019010584474056236
2015-05-22,-0.0554947418098527
2015-05-25,0.06330433294693194
2015-05-26,0.07210057844240891
2015-05-27,0.0018945386498759875
2015-05-28,0.008592207360316184
2015-05-29,-0.09016464367982924
2015-06-02,0.0904419948094276
2015-06-03,-0.04356714978352949
2015-06-04,0.01372885682804903
2015-06-05,0.05848297156126481
2015-06-08,0.0028623490596103585
2015-06-09,0.03630073816494195
2015-06-10,0.06646509223551655
2015-06-11,-0.044235835592893236
2015-06-12,-0.006169804479478569
2015-06-15,0.003786707497917652
2015-06-16,0.043460749955229305
2015-06-17,0.009045423990030277
2015-06-18,0.07734288313240467
2015-06-19,0.16581621324117213
2015-06-22,0.006821930156236111
2015-06-23,-0.00773128358299735
2015-06-24,0.051824937144212435
2015-06-25,-0.10337772305923099
2015-06-26,-0.03265187457236274
2015-06-29,0.07167851134172853
2015-06-30,-0.027229142460715505
2015-07-02,-0.1017901775192599
2015-07-03,-0.030896670055876152
2015-07-06,0.016384758387948284
2015-07-07,-0.010805140897651277
2015-07-08,-0.07879440881038557
2015-07-09,-0.04043548736361324
2015-07-10,-0.02726531971695345
2015-07-13,-0.007665096949536099
2015-07-14,0.004513317179972942
2015-07-15,-0.02180916931419763
2015-07-16,0.12545417774103118
2015-07-17,-0.11809064839181282
2015-07-20,0.014058212880248555
2015-07-21,0.008986977019297404
2015-07-22,-0.06315847646932482
2015-07-23,-0.1702381818287101
